symbol,date,open,high,low,close,volume,change,changePercent,vwap
GOOGL,2025-08-12,201.37,204.5,200.59,203.34,30424452,1.97,0.9783,202.45
GOOGL,2025-08-11,200.94,201.48,199.07,201.0,25832435,0.065,0.02985966,200.6225
GOOGL,2025-08-08,197.22,202.61,197.17,201.42,39161826,4.2,2.13,199.605
GOOGL,2025-08-07,197.06,197.54,194.33,196.52,26321811,-0.54,-0.27403,196.3625
GOOGL,2025-08-06,194.5,196.63,193.67,196.09,21562908,1.59,0.81748,195.2225
GOOGL,2025-08-05,194.71,197.86,193.89,194.67,31602340,-0.04,-0.02054337,195.2825
GOOGL,2025-08-04,190.29,195.27,190.12,195.04,31547400,4.75,2.5,192.68
GOOGL,2025-08-01,189.03,190.83,187.82,189.13,34832200,0.105,0.05290166,189.2025
GOOGL,2025-07-31,195.71,195.99,191.09,191.9,51329200,-3.81,-1.95,193.6725
GOOGL,2025-07-30,195.6,197.6,194.69,196.53,32445405,0.93,0.47546,196.105
GOOGL,2025-07-29,192.43,195.92,192.08,195.75,41389200,3.32,1.73,194.045
GOOGL,2025-07-28,193.65,194.05,190.84,192.58,38139504,-1.07,-0.55254,192.78
GOOGL,2025-07-25,191.98,194.33,191.26,193.18,39785900,1.2,0.62507,192.6875
GOOGL,2025-07-24,197.03,197.95,191.0,192.17,74881700,-4.86,-2.47,194.5375
GOOGL,2025-07-23,191.5,192.53,189.18,190.23,58681948,-1.27,-0.66319,190.86
GOOGL,2025-07-22,191.5,191.65,187.46,191.34,44660215,-0.155,-0.08355091,190.4875
GOOGL,2025-07-21,186.25,190.29,186.15,190.1,45803129,3.85,2.07,188.1975
GOOGL,2025-07-18,185.4,186.42,183.71,185.06,34014509,-0.34,-0.18339,185.1475
GOOGL,2025-07-17,182.14,184.06,180.48,183.58,31992600,1.44,0.7906,182.565
GOOGL,2025-07-16,183.24,184.33,182.03,182.97,33104200,-0.265,-0.14735,183.1425
GOOGL,2025-07-15,182.81,184.22,181.6,182.0,33448300,-0.81,-0.44308,182.6575
GOOGL,2025-07-14,181.01,183.67,179.68,181.56,32536632,0.55,0.30385,181.48
GOOGL,2025-07-11,176.79,181.43,176.48,180.19,34282922,3.41,1.92,178.7225
GOOGL,2025-07-10,175.63,178.43,174.38,177.62,29252400,1.99,1.13,176.515
GOOGL,2025-07-09,175.25,179.44,172.77,176.62,43025600,1.37,0.78174,176.02
GOOGL,2025-07-08,177.85,177.95,172.81,174.36,40442535,-3.49,-1.96,175.7425
GOOGL,2025-07-07,179.06,179.3,175.68,176.79,34175648,-2.27,-1.27,177.7075
